Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
bmi,71017,-2,7,HoloVTA_pretrain,191005_NVI12_D10,False
holo,107,-118,6,HoloVTA_pretrain,191005_NVI12_D10,False
frames,6200,0,1,holostim_seq,191005_NVI12_D10,False
reward,0,0,5,holostim_seq,191005_NVI12_D10,False
bmi,6200,0,1,holostim_seq,191005_NVI12_D10,False
holo,95,0,6,holostim_seq,191005_NVI12_D10,False
frames,27000,0,1,baseline,191005_NVI13_D10,False
reward,0,0,5,baseline,191005_NVI13_D10,False
bmi,22606,-2,7,baseline,191005_NVI13_D10,False
holo,0,0,6,baseline,191005_NVI13_D10,False
frames,75600,0,1,BMI,191005_NVI13_D10,True
reward,25,0,5,BMI,191005_NVI13_D10,True
bmi,63116,-414,7,BMI,191005_NVI13_D10,True
holo,0,0,6,BMI,191005_NVI13_D10,True
frames,99822,0,1,HoloVTA_pretrain,191005_NVI13_D10,False
reward,111,0,5,HoloVTA_pretrain,191005_NVI13_D10,False
bmi,83881,-3,7,HoloVTA_pretrain,191005_NVI13_D10,False
holo,121,-104,6,HoloVTA_pretrain,191005_NVI13_D10,False
frames,3600,0,1,holostim_seq,191005_NVI13_D10,False
reward,0,0,5,holostim_seq,191005_NVI13_D10,False
bmi,3600,1,1,holostim_seq,191005_NVI13_D10,False
holo,54,0,6,holostim_seq,191005_NVI13_D10,False
frames,27000,0,1,baseline,191007_NVI13_D12,False
reward,0,0,5,baseline,191007_NVI13_D12,False
bmi,23377,-3,7,baseline,191007_NVI13_D12,False
holo,0,0,6,baseline,191007_NVI13_D12,False
frames,75600,0,1,BMI,191007_NVI13_D12,False
reward,6,0,5,BMI,191007_NVI13_D12,False
bmi,63735,-2,7,BMI,191007_NVI13_D12,False
holo,0,0,6,BMI,191007_NVI13_D12,False
frames,79290,0,1,HoloVTA_pretrain,191007_NVI13_D12,True
reward,100,0,5,HoloVTA_pretrain,191007_NVI13_D12,True
bmi,66576,-51,7,HoloVTA_pretrain,191007_NVI13_D12,True
holo,267,42,0,HoloVTA_pretrain,191007_NVI13_D12,True
frames,3200,0,1,holostim_seq,191007_NVI13_D12,False
reward,0,0,5,holostim_seq,191007_NVI13_D12,False
bmi,3200,-1,1,holostim_seq,191007_NVI13_D12,False
holo,44,0,6,holostim_seq,191007_NVI13_D12,False
frames,27000,0,1,baseline,191007_NVI16_D12,False
reward,0,0,5,baseline,191007_NVI16_D12,False
bmi,22673,-1,7,baseline,191007_NVI16_D12,False
holo,0,0,6,baseline,191007_NVI16_D12,False
frames,75600,0,1,BMI,191007_NVI16_D12,False
reward,15,0,5,BMI,191007_NVI16_D12,False
bmi,63700,-3,7,BMI,191007_NVI16_D12,False
holo,0,0,6,BMI,191007_NVI16_D12,False
frames,90074,0,1,HoloVTA_pretrain,191007_NVI16_D12,True
reward,100,0,5,HoloVTA_pretrain,191007_NVI16_D12,True
bmi,79081,-49,7,HoloVTA_pretrain,191007_NVI16_D12,True
holo,116,-109,6,HoloVTA_pretrain,191007_NVI16_D12,True
frames,3000,0,1,holostim_seq,191007_NVI16_D12,False
reward,0,0,5,holostim_seq,191007_NVI16_D12,False
bmi,3000,1,1,holostim_seq,191007_NVI16_D12,False
holo,44,0,6,holostim_seq,191007_NVI16_D12,False
frames,27000,0,1,baseline,191009_NVI13_D14,False
reward,0,0,5,baseline,191009_NVI13_D14,False
bmi,26339,-2,7,baseline,191009_NVI13_D14,False
holo,0,0,6,baseline,191009_NVI13_D14,False
frames,75600,0,1,BMI,191009_NVI13_D14,False
reward,22,0,5,BMI,191009_NVI13_D14,False
bmi,74373,-2,7,BMI,191009_NVI13_D14,False
