Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size,Prev_Min_Diff
frames,27000,0.0,1,baseline,191005/NVI12/D10,False,
reward,0,0.0,5,baseline,191005/NVI12/D10,False,
bmi,22631,-1.0,7,baseline,191005/NVI12/D10,False,
holo,0,0.0,6,baseline,191005/NVI12/D10,False,
frames,75600,0.0,1,BMI,191005/NVI12/D10,False,
reward,29,0.0,5,BMI,191005/NVI12/D10,False,
bmi,63593,0.0,7,BMI,191005/NVI12/D10,False,
holo,0,0.0,6,BMI,191005/NVI12/D10,False,
frames,84461,0.0,1,HoloVTA_pretrain,191005/NVI12/D10,False,
reward,101,0.0,5,HoloVTA_pretrain,191005/NVI12/D10,False,
bmi,71017,0.0,7,HoloVTA_pretrain,191005/NVI12/D10,False,
holo,101,-5.0,5,HoloVTA_pretrain,191005/NVI12/D10,False,
frames,6200,0.0,1,holostim_seq,191005/NVI12/D10,False,
reward,0,0.0,5,holostim_seq,191005/NVI12/D10,False,
bmi,6198,-2.0,7,holostim_seq,191005/NVI12/D10,False,
holo,95,0.0,6,holostim_seq,191005/NVI12/D10,False,
frames,27000,0.0,1,baseline,191005/NVI13/D10,False,
reward,0,0.0,5,baseline,191005/NVI13/D10,False,
bmi,22606,-2.0,7,baseline,191005/NVI13/D10,False,
holo,0,0.0,6,baseline,191005/NVI13/D10,False,
frames,75600,0.0,1,BMI,191005/NVI13/D10,False,
reward,25,0.0,5,BMI,191005/NVI13/D10,False,
bmi,63526,-2.0,7,BMI,191005/NVI13/D10,False,
holo,0,0.0,6,BMI,191005/NVI13/D10,False,
frames,99822,0.0,1,HoloVTA_pretrain,191005/NVI13/D10,False,
reward,111,0.0,5,HoloVTA_pretrain,191005/NVI13/D10,False,
bmi,83881,-1.0,7,HoloVTA_pretrain,191005/NVI13/D10,False,
holo,121,1.0,6,HoloVTA_pretrain,191005/NVI13/D10,False,
frames,3600,0.0,1,holostim_seq,191005/NVI13/D10,False,
reward,0,0.0,5,holostim_seq,191005/NVI13/D10,False,
bmi,3598,-1.0,7,holostim_seq,191005/NVI13/D10,False,
holo,54,0.0,6,holostim_seq,191005/NVI13/D10,False,
frames,27000,0.0,1,baseline,191007/NVI13/D12,False,
reward,0,0.0,5,baseline,191007/NVI13/D12,False,
bmi,23377,-3.0,7,baseline,191007/NVI13/D12,False,
holo,0,0.0,6,baseline,191007/NVI13/D12,False,
frames,75600,0.0,1,BMI,191007/NVI13/D12,False,
reward,6,0.0,5,BMI,191007/NVI13/D12,False,
bmi,63735,0.0,7,BMI,191007/NVI13/D12,False,
holo,0,0.0,6,BMI,191007/NVI13/D12,False,
frames,79290,0.0,1,HoloVTA_pretrain,191007/NVI13/D12,False,
reward,100,0.0,5,HoloVTA_pretrain,191007/NVI13/D12,False,
bmi,66622,-3.0,7,HoloVTA_pretrain,191007/NVI13/D12,False,
holo,103,1.0,6,HoloVTA_pretrain,191007/NVI13/D12,False,
frames,3200,0.0,1,holostim_seq,191007/NVI13/D12,False,
reward,0,0.0,5,holostim_seq,191007/NVI13/D12,False,
bmi,3200,-1.0,7,holostim_seq,191007/NVI13/D12,False,
holo,44,0.0,6,holostim_seq,191007/NVI13/D12,False,
frames,27000,0.0,1,baseline,191007/NVI16/D12,False,
reward,0,0.0,5,baseline,191007/NVI16/D12,False,
bmi,22673,-1.0,7,baseline,191007/NVI16/D12,False,
holo,0,0.0,6,baseline,191007/NVI16/D12,False,
frames,75600,0.0,1,BMI,191007/NVI16/D12,False,
reward,15,0.0,5,BMI,191007/NVI16/D12,False,
bmi,63700,-1.0,7,BMI,191007/NVI16/D12,False,
holo,0,0.0,6,BMI,191007/NVI16/D12,False,
frames,90074,0.0,1,HoloVTA_pretrain,191007/NVI16/D12,False,
reward,100,0.0,5,HoloVTA_pretrain,191007/NVI16/D12,False,
bmi,79125,-3.0,7,HoloVTA_pretrain,191007/NVI16/D12,False,
holo,116,1.0,6,HoloVTA_pretrain,191007/NVI16/D12,False,
frames,3000,0.0,1,holostim_seq,191007/NVI16/D12,False,
reward,0,0.0,5,holostim_seq,191007/NVI16/D12,False,
bmi,2998,-1.0,7,holostim_seq,191007/NVI16/D12,False,
holo,44,0.0,6,holostim_seq,191007/NVI16/D12,False,
frames,27000,0.0,1,baseline,191009/NVI13/D14,False,
reward,0,0.0,5,baseline,191009/NVI13/D14,False,
bmi,26339,-2.0,7,baseline,191009/NVI13/D14,False,
holo,0,0.0,6,baseline,191009/NVI13/D14,False,
frames,75600,0.0,1,BMI,191009/NVI13/D14,False,
reward,22,0.0,5,BMI,191009/NVI13/D14,False,
bmi,74373,0.0,7,BMI,191009/NVI13/D14,False,
holo,0,0.0,6,BMI,191009/NVI13/D14,False,
frames,76247,0.0,1,HoloVTA_pretrain,191009/NVI13/D14,False,
reward,101,0.0,5,HoloVTA_pretrain,191009/NVI13/D14,False,
bmi,73713,-1.0,7,HoloVTA_pretrain,191009/NVI13/D14,False,
